Lower House Election for the State of Victoria ,12215,Albert Park District,48949,14061,"RAMSAY, Tamasin",ANIMAL JUSTICE PARTY,1
Lower House Election for the State of Victoria ,12215,Albert Park District,48949,14490,"BOND, Andrew",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,2
Lower House Election for the State of Victoria ,12215,Albert Park District,48949,13785,"BARTLE, Jarryd",FIONA PATTEN'S REASON PARTY ,3
Lower House Election for the State of Victoria ,12215,Albert Park District,48949,14342,"ARMSTRONG, Steven",SUSTAINABLE AUSTRALIA (VIC),4
Lower House Election for the State of Victoria ,12215,Albert Park District,48949,13847,"TOSCANO, Joseph",INDEPENDENT,5
Lower House Election for the State of Victoria ,12215,Albert Park District,48949,14156,"SIMIC, Ogy",THE AUSTRALIAN GREENS - VICTORIA,6
Lower House Election for the State of Victoria ,12215,Albert Park District,48949,13930,"FOLEY, Martin",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,7
Lower House Election for the State of Victoria ,12149,Altona District,55418,14491,"MARTINU, Christian",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,1
Lower House Election for the State of Victoria ,12149,Altona District,55418,14154,"HOOPER, Tony",INDEPENDENT,2
Lower House Election for the State of Victoria ,12149,Altona District,55418,14782,"AYLWARD, Maria",INDEPENDENT,3
Lower House Election for the State of Victoria ,12149,Altona District,55418,14157,"BYRNE, Emma-Jane",THE AUSTRALIAN GREENS - VICTORIA,4
Lower House Election for the State of Victoria ,12149,Altona District,55418,13931,"HENNESSY, Jill",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,5
Lower House Election for the State of Victoria ,12162,Bass District,58325,14492,"PAYNTER, Brian",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,1
Lower House Election for the State of Victoria ,12162,Bass District,58325,14448,"LE SERVE, Clare",INDEPENDENT,2
Lower House Election for the State of Victoria ,12162,Bass District,58325,13932,"CRUGNALE, Jordan",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,3
Lower House Election for the State of Victoria ,12162,Bass District,58325,14409,"McPHEE, Ross",DEMOCRATIC LABOUR PARTY (DLP),4
Lower House Election for the State of Victoria ,12162,Bass District,58325,14288,"BAUER, Ron",INDEPENDENT,5
Lower House Election for the State of Victoria ,12162,Bass District,58325,14796,"LEMPRIERE, Kate",INDEPENDENT,6
Lower House Election for the State of Victoria ,12162,Bass District,58325,13900,"RIPA, Frank","SHOOTERS, FISHERS AND FARMERS PARTY VICTORIA",7
Lower House Election for the State of Victoria ,12162,Bass District,58325,14158,"ARNAULT, David",THE AUSTRALIAN GREENS - VICTORIA,8
Lower House Election for the State of Victoria ,12155,Bayswater District,44047,14493,"VICTORIA, Heidi",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,1
Lower House Election for the State of Victoria ,12155,Bayswater District,44047,13933,"TAYLOR, Jackson",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,2
Lower House Election for the State of Victoria ,12155,Bayswater District,44047,14159,"COOKSON, Asher",THE AUSTRALIAN GREENS - VICTORIA,3
Lower House Election for the State of Victoria ,12155,Bayswater District,44047,14062,"SCHRAM, Nathan",ANIMAL JUSTICE PARTY,4
Lower House Election for the State of Victoria ,12187,Bellarine District,49417,14063,"ADAMS, Naomi",ANIMAL JUSTICE PARTY,1
Lower House Election for the State of Victoria ,12187,Bellarine District,49417,13934,"NEVILLE, Lisa",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,2
Lower House Election for the State of Victoria ,12187,Bellarine District,49417,14160,"SEMMENS, Rachel",THE AUSTRALIAN GREENS - VICTORIA,3
Lower House Election for the State of Victoria ,12187,Bellarine District,49417,14494,"McKITERICK, Brian",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,4
Lower House Election for the State of Victoria ,12187,Bellarine District,49417,13869,"KRIZ, Jackie",VICTORIAN SOCIALISTS,5
Lower House Election for the State of Victoria ,12156,Benambra District,48795,14784,"HAWKINS, Jacqui",INDEPENDENT,1
Lower House Election for the State of Victoria ,12156,Benambra District,48795,13935,"TAIT, Mark",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,2
Lower House Election for the State of Victoria ,12156,Benambra District,48795,14495,"TILLEY, Bill",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,3
Lower House Election for the State of Victoria ,12156,Benambra District,48795,14407,"O'CONNOR, Jenny",INDEPENDENT,4
Lower House Election for the State of Victoria ,12156,Benambra District,48795,13901,"KNIGHT, Josh","SHOOTERS, FISHERS AND FARMERS PARTY VICTORIA",5
Lower House Election for the State of Victoria ,12156,Benambra District,48795,14161,"BARDSLEY, John",THE AUSTRALIAN GREENS - VICTORIA,6
Lower House Election for the State of Victoria ,12217,Bendigo East District,48899,14406,"BELARDINELLI, Michael",INDEPENDENT,1
Lower House Election for the State of Victoria ,12217,Bendigo East District,48899,14496,"ELLIS, Ian",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,2
Lower House Election for the State of Victoria ,12217,Bendigo East District,48899,14415,"LEACH, Helen",DEMOCRATIC LABOUR PARTY (DLP),3
Lower House Election for the State of Victoria ,12217,Bendigo East District,48899,13936,"ALLAN, Jacinta",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,4
Lower House Election for the State of Victoria ,12217,Bendigo East District,48899,14162,"THOMSON, Nakita",THE AUSTRALIAN GREENS - VICTORIA,5
Lower House Election for the State of Victoria ,12217,Bendigo East District,48899,14324,"BROAD, Gaelle",NATIONAL PARTY OF AUSTRALIA - VICTORIA,6
Lower House Election for the State of Victoria ,12182,Bendigo West District,45324,14064,"NUSKE, Marilyn",ANIMAL JUSTICE PARTY,1
Lower House Election for the State of Victoria ,12182,Bendigo West District,45324,14497,"FINN, Kevin",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,2
Lower House Election for the State of Victoria ,12182,Bendigo West District,45324,13937,"EDWARDS, Maree",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,3
Lower House Election for the State of Victoria ,12182,Bendigo West District,45324,14163,"WHELAN, Laurie",THE AUSTRALIAN GREENS - VICTORIA,4
Lower House Election for the State of Victoria ,12209,Bentleigh District,42772,13841,"LOBO, Oscar",INDEPENDENT,1
Lower House Election for the State of Victoria ,12209,Bentleigh District,42772,14498,"JUDAH, Asher",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,2
Lower House Election for the State of Victoria ,12209,Bentleigh District,42772,13938,"STAIKOS, Nick",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,3
Lower House Election for the State of Victoria ,12209,Bentleigh District,42772,14164,"DEKIERE, Sarah",THE AUSTRALIAN GREENS - VICTORIA,4
Lower House Election for the State of Victoria ,12209,Bentleigh District,42772,14693,"STOTT, Dave",FIONA PATTEN'S REASON PARTY ,5
Lower House Election for the State of Victoria ,12209,Bentleigh District,42772,14343,"VERZIJL, Hans",SUSTAINABLE AUSTRALIA (VIC),6
Lower House Election for the State of Victoria ,12209,Bentleigh District,42772,14065,"CHELLAPPAH, Naren",ANIMAL JUSTICE PARTY,7
Lower House Election for the State of Victoria ,12209,Bentleigh District,42772,14370,"FRASER, Fi",DEMOCRATIC LABOUR PARTY (DLP),8
Lower House Election for the State of Victoria ,12209,Bentleigh District,42772,14291,"SULLIVAN, Ellie Jean",DERRYN HINCH'S JUSTICE PARTY,9
Lower House Election for the State of Victoria ,12209,Bentleigh District,42772,14791,"MAVROYENI, George",INDEPENDENT,10
Lower House Election for the State of Victoria ,12207,Box Hill District,43983,14499,"CLARK, Robert",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,1
Lower House Election for the State of Victoria ,12207,Box Hill District,43983,13939,"HAMER, Paul",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,2
Lower House Election for the State of Victoria ,12207,Box Hill District,43983,14165,"SUN, Sophia",THE AUSTRALIAN GREENS - VICTORIA,3
Lower House Election for the State of Victoria ,12123,Brighton District,45224,14066,"TAYLOR, Cathy",ANIMAL JUSTICE PARTY,1
Lower House Election for the State of Victoria ,12123,Brighton District,45224,13940,"MARTIN, Declan",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,2
Lower House Election for the State of Victoria ,12123,Brighton District,45224,14500,"NEWBURY, James",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,3
Lower House Election for the State of Victoria ,12123,Brighton District,45224,13830,"CASLEY, John Tiger",INDEPENDENT,4
Lower House Election for the State of Victoria ,12123,Brighton District,45224,14166,"COPSEY, Katherine",THE AUSTRALIAN GREENS - VICTORIA,5
Lower House Election for the State of Victoria ,12123,Brighton District,45224,14344,"PRIDHAM, Alison",SUSTAINABLE AUSTRALIA (VIC),6
Lower House Election for the State of Victoria ,12205,Broadmeadows District,43657,13941,"MCGUIRE, Frank",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,1
Lower House Election for the State of Victoria ,12205,Broadmeadows District,43657,13870,"SMALL, Jerome",VICTORIAN SOCIALISTS,2
Lower House Election for the State of Victoria ,12205,Broadmeadows District,43657,14167,"TATE, Sheriden",THE AUSTRALIAN GREENS - VICTORIA,3
Lower House Election for the State of Victoria ,12205,Broadmeadows District,43657,14501,"DOW, Jenny",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,4
Lower House Election for the State of Victoria ,12129,Brunswick District,53340,14152,"GEORGIOU, George",INDEPENDENT,1
Lower House Election for the State of Victoria ,12129,Brunswick District,53340,13786,"DEVENY, Catherine",FIONA PATTEN'S REASON PARTY ,2
Lower House Election for the State of Victoria ,12129,Brunswick District,53340,14658,"COLLINS, Noel",LIBERAL DEMOCRATIC PARTY,3
Lower House Election for the State of Victoria ,12129,Brunswick District,53340,13942,"O'CONNOR, Cindy",AUSTRALIAN LABOR PARTY - VICTORIAN BRANCH,4
Lower House Election for the State of Victoria ,12129,Brunswick District,53340,14802,"SOURASIS, Kerry",INDEPENDENT,5
Lower House Election for the State of Victoria ,12129,Brunswick District,53340,14758,"WOJTONIS, Adam",LIBERAL PARTY OF AUSTRALIA - VICTORIAN DIVISION,6
Lower House Election for the State of Victoria ,12129,Brunswick District,53340,14168,"READ, Tim",THE AUSTRALIAN GREENS - VICTORIA,7
Lower House Election for the State of Victoria ,12129,Brunswick District,53340,14794,"ANDERSON, Christopher",INDEPENDENT,8
